PC1; 0.100; 0.400; 200.000; 1.700
PC2; 0.010; 0.050; 500.000; 0.800
PC3; 0.047; 0.116; 409.000; 1.314
PC4; 0.093; 0.097; 457.000; 1.560
PC5; 0.051; 0.130; 375.000; 1.555
PC6; 0.060; 0.328; 232.000; 1.366
PC7; 0.043; 0.303; 320.000; 0.993
PC8; 0.012; 0.145; 460.000; 1.686
PC9; 0.062; 0.136; 209.000; 1.667
PC10; 0.085; 0.343; 376.000; 1.090
PC11; 0.055; 0.374; 255.000; 1.010
PC12; 0.092; 0.326; 441.000; 1.285
PC13; 0.071; 0.079; 475.000; 0.812
PC14; 0.064; 0.229; 346.000; 1.273
PC15; 0.061; 0.071; 497.000; 1.420
